"REF_DATE","GEO","DGUID","Percent","Gender (3a)","Age (15A)","First official language spoken (5)","Immigrant and generation status (9)","Visible minority (15)","Highest certificate, diploma or degree (7A)","Census year (4)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Visible minority, n.i.e.","No certificate, diploma or degree","2021","","0","units","0","","1.1.1.1.1.1.13.2.1","18.6","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Visible minority, n.i.e.","High (secondary) school diploma or equivalency certificate","2021","","0","units","0","","1.1.1.1.1.1.13.3.1","29.3","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Visible minority, n.i.e.","Postsecondary certificate or diploma below bachelor level","2021","","0","units","0","","1.1.1.1.1.1.13.4.1","29.2","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Visible minority, n.i.e.","Bachelor’s degree or higher","2021","","0","units","0","","1.1.1.1.1.1.13.5.1","22.9","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Visible minority, n.i.e.","Bachelor's degree","2021","","0","units","0","","1.1.1.1.1.1.13.6.1","15.2","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Visible minority, n.i.e.","University certificate, diploma or degree above bachelor level","2021","","0","units","0","","1.1.1.1.1.1.13.7.1","7.7","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Multiple visible minorities","Total - Highest certificate, diploma or degree","2021","","0","units","0","","1.1.1.1.1.1.14.1.1","100.0","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Multiple visible minorities","No certificate, diploma or degree","2021","","0","units","0","","1.1.1.1.1.1.14.2.1","16.7","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Multiple visible minorities","High (secondary) school diploma or equivalency certificate","2021","","0","units","0","","1.1.1.1.1.1.14.3.1","25.6","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Multiple visible minorities","Postsecondary certificate or diploma below bachelor level","2021","","0","units","0","","1.1.1.1.1.1.14.4.1","23.1","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Multiple visible minorities","Bachelor’s degree or higher","2021","","0","units","0","","1.1.1.1.1.1.14.5.1","34.6","","","","1"
